#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.73,30,67.42757
-14.37,30,67.463746
-14.13,30,67.499292
-11.52,30,67.534131
-13.46,30,67.567487
-13.31,30,67.600012
-13.88,30,67.634857
-13.81,30,67.666314
-13.56,30,67.697805
-12.71,30,67.730184
-13.69,30,67.764512
-13.39,30,67.798711
-14.01,30,67.832551
-12.22,30,67.864633
-13.27,30,69.437586
-13.55,30,69.473019
-13.69,30,69.505994
-13.64,30,69.542125
-13.25,30,69.574328
-13.53,30,69.609704
-13.27,30,69.64692
-13.91,30,69.682138
-12.95,30,69.714452
-12.9,30,69.746515
-13.59,30,69.78086
-13.68,30,69.816612
-12.78,30,69.852203
-12.73,30,69.88537
-12.83,30,69.918538
-14.05,30,69.951089
-12.78,30,69.986161
-13.59,30,70.027371
-13.56,30,70.069646
-13.03,30,70.113027
-13.85,30,70.149945
-14.28,30,70.185457
-12.99,30,70.219881
-13.34,30,70.254164
-13.25,30,70.290184
-14.04,30,70.324742
-12.95,30,70.36033
-14.5,30,70.397976
-11.56,30,70.437415
-13.61,30,70.471716
-13.28,30,70.506696
-13.41,30,70.538642
-13.2,30,70.571995
-12.93,30,70.60488
-14.67,30,70.638601
-12.14,30,70.672975
-13.72,30,70.708694
-12.67,30,70.741506
-13.96,30,70.775103
-13.39,30,70.812231
-13.08,30,70.849722
-14.47,30,70.885547
-13.63,30,70.919526
-13.11,30,70.952059
-12.85,30,70.988017
-12.5,30,71.021997
-13.0,30,71.056323
-11.49,30,71.088708
-12.56,30,71.120793
-12.77,30,71.15791
-14.35,30,71.194417
-13.22,30,71.229376
-13.85,30,71.264834
-14.04,30,71.301484
-13.88,30,71.335303
-14.17,30,71.369934
-13.86,30,71.408214
-14.06,30,71.440649
-13.74,30,71.4781
-13.53,30,71.513379
-14.38,30,71.550002
-12.74,30,71.587147
-12.59,30,71.624512
-13.38,30,71.659479
-12.73,30,71.690445
-14.21,30,71.722301
-13.63,30,71.757231
-13.5,30,71.789554
-12.7,30,73.387748
-12.63,30,73.424002
-13.64,30,73.461277
-12.4,30,73.495304
-13.97,30,73.528516
-13.5,30,73.562878
-13.69,30,73.600029
-13.9,30,73.63709
-12.99,30,73.670263
-13.03,30,73.706021
-13.67,30,73.741731
-12.11,30,73.78262
-13.95,30,73.818015
-13.23,30,73.849147
-13.56,30,73.886612
-13.52,30,73.919047
-11.68,30,73.952156
-13.26,30,73.984054
-13.51,30,74.018019
-13.55,30,74.051901
-13.76,30,74.085515
-12.81,30,74.12091
-13.3,30,74.156921
-13.63,30,74.18976
-13.87,30,74.222202
-12.31,30,74.25896
-14.48,30,74.292638
-12.92,30,74.326607
-13.59,30,74.36193
-13.35,30,74.399359
-13.98,30,74.433167
-12.88,30,74.465118
-13.72,30,74.503482
-13.66,30,74.540937
-12.49,30,74.573716
-11.73,30,74.610767
-13.89,30,74.643723
-13.91,30,74.675268
-13.27,30,74.707149
-13.08,30,74.738836
-13.79,30,74.771198
-13.91,30,74.802832
-13.89,30,74.835558
-11.63,30,74.868268
-12.65,30,74.899663
-12.44,30,74.934973
-12.96,30,74.969109
-13.91,30,75.000528
-13.94,30,75.03249
-13.39,30,75.065666
-12.84,30,75.098848
-13.27,30,75.130351
-12.19,30,75.163699
-13.34,30,75.199268
-14.32,30,75.232181
-13.06,30,75.268764
-12.85,30,75.303157
-14.36,30,75.336819
-13.97,30,75.368061
-13.8,30,75.403673
-14.24,30,75.439112
-13.83,30,75.471394
-12.8,30,75.503453
-13.59,30,75.538548
-12.16,30,75.574969
-14.29,30,75.607871
-13.5,30,75.643903
-13.73,30,75.68206
-12.29,30,75.714792
-12.72,30,77.333014
-13.9,30,77.370245
-12.66,30,77.403631
-12.92,30,77.437452
-13.81,30,77.46893
-11.32,30,77.502575
-12.65,30,77.537572
-13.05,30,77.569906
-13.85,30,77.602323
-12.87,30,77.637423
-12.4,30,77.676431
-14.14,30,77.712519
-12.92,30,77.750062
-13.03,30,77.784174
-13.77,30,77.817212
-11.7,30,77.85038
-14.06,30,77.883677
-13.73,30,77.916869
-13.61,30,77.95461
-14.19,30,77.988194
-12.33,30,78.020077
-13.86,30,78.057714
-12.97,30,78.097749
-12.81,30,78.130801
-13.72,30,78.164484
-13.73,30,78.20164
-13.04,30,78.242444
-12.68,30,78.277922
-12.17,30,78.310275
-13.7,30,78.344602
-13.27,30,78.380714
-13.22,30,78.415843
-13.19,30,78.449208
-13.71,30,78.484544
-13.91,30,78.516513
-13.21,30,78.549902
-13.55,30,78.587184
-13.23,30,78.620949
-13.77,30,78.657456
-13.86,30,78.689228
-12.5,30,78.721328
-12.94,30,78.758083
-13.32,30,78.792066
-13.76,30,78.825134
-13.31,30,78.857708
-13.11,30,78.89473
-13.44,30,78.93137
-14.06,30,78.967094
-13.92,30,79.000301
-12.99,30,79.034571
-13.88,30,79.069563
-12.83,30,79.104635
-13.39,30,79.140863
-14.49,30,79.176268
-12.49,30,79.211227
-13.76,30,79.246464
-13.97,30,79.278348
-13.51,30,79.314107
-13.63,30,79.348424
-13.12,30,79.384574
-12.28,30,79.424098
-13.45,30,79.468407
-13.87,30,79.508509
-13.32,30,79.544928
-13.74,30,79.583917
-13.46,30,79.620159
-13.46,30,79.654238
-13.66,30,79.685642
-13.84,30,81.268113
-11.71,30,81.300356
-14.69,30,81.333025
-10.92,30,81.366544
-12.3,30,81.401648
-12.68,30,81.437698
-13.73,30,81.471022
-12.16,30,81.513814
-13.55,30,81.550469
-13.07,30,81.584837
-14.15,30,81.6202
-13.56,30,81.655552
-11.71,30,81.687691
-14.43,30,81.719512
-14.62,30,81.75159
-11.65,30,81.786642
-13.51,30,81.819192
-14.61,30,81.851852
-13.07,30,81.884703
-13.4,30,81.917996
-13.05,30,81.951474
-13.47,30,81.983641
-14.11,30,82.019708
-11.7,30,82.055714
-12.61,30,82.089067
-13.43,30,82.123026
-13.86,30,82.159673
-13.67,30,82.191809
-12.19,30,82.224312
-13.6,30,82.256968
-13.94,30,82.289698
-14.03,30,82.324051
-13.61,30,82.357298
-14.31,30,82.397312
-13.64,30,82.43211
-11.42,30,82.463464
-14.22,30,82.50191
-13.66,30,82.548111
-12.78,30,82.584203
-13.41,30,82.621777
-12.82,30,82.658476
-12.64,30,82.694652
-13.68,30,82.727615
-14.2,30,82.758431
-12.27,30,82.790431
-13.62,30,82.826864
-14.37,30,82.862018
-12.85,30,82.900596
-13.4,30,82.939322
-13.05,30,82.973094
-13.85,30,83.004521
-13.75,30,83.038289
-12.98,30,83.072772
-12.92,30,83.107784
-13.14,30,83.140072
-12.56,30,83.171787
-13.16,30,83.204415
-12.79,30,83.236275
-11.82,30,83.26778
-13.49,30,83.303658
-13.37,30,83.338119
-13.76,30,83.375568
-13.1,30,83.412561
-14.41,30,83.447654
-12.53,30,83.482327
-13.83,30,83.518167
-12.99,30,83.552055
-13.9,30,83.584303
-12.74,30,85.175863
-11.98,30,85.213112
-13.2,30,85.251545
-12.47,30,85.285362
-13.43,30,85.319284
-12.41,30,85.352339
-14.07,30,85.384345
-13.42,30,85.428721
-14.25,30,85.471375
-12.63,30,85.516022
-13.8,30,85.552568
-12.66,30,85.591494
-12.94,30,85.631627
-13.67,30,85.673768
-13.32,30,85.710201
-13.55,30,85.745944
-13.46,30,85.782434
-13.64,30,85.820051
-14.35,30,85.854374
-11.94,30,85.887535
-12.12,30,85.920291
-13.96,30,85.958952
-13.21,30,85.996269
-14.21,30,86.030897
-14.89,30,86.062948
-14.33,30,86.097728
-14.35,30,86.141687
-13.27,30,86.17828
-13.63,30,86.214516
-14.29,30,86.24808
-15.28,30,86.283255
-13.82,30,86.317583
-12.54,30,86.35203
-12.84,30,86.388948
-13.13,30,86.422198
-13.21,30,86.458595
-14.64,30,86.485437
-12.19,30,86.514353
-14.18,30,86.543032
-13.26,30,86.573953
-13.37,30,86.605029
-13.9,30,86.632443
-13.33,30,86.666199
-12.91,30,86.708365
-13.8,30,86.747741
-14.24,30,86.783824
-13.82,30,86.818868
-12.54,30,86.855507
-12.34,30,86.88835
-14.44,30,86.922985
-12.98,30,86.960499
-14.23,30,86.993679
-11.84,30,87.030274
-14.29,30,87.067683
-13.81,30,87.103567
-13.99,30,87.136617
-12.1,30,87.173553
-12.98,30,87.210114
-14.06,30,87.243176
-12.96,30,87.27835
-13.07,30,87.314855
-13.48,30,87.349732
-11.76,30,87.388336
-12.98,30,87.43396
-14.52,30,87.470613
-13.56,30,87.504331
-12.97,30,87.5416
-13.36,30,87.577033
-14.76,30,89.200258
-14.11,30,89.232445
-12.73,30,89.266956
-13.91,30,89.302342
-13.3,30,89.338034
-12.53,30,89.369662
-13.82,30,89.401827
-13.67,30,89.436803
-13.14,30,89.471399
-14.02,30,89.509831
-13.47,30,89.546376
-12.84,30,89.580449
-13.96,30,89.612952
-13.5,30,89.646933
-13.39,30,89.682272
-13.95,30,89.720109
-13.06,30,89.757047
-13.94,30,89.795647
-13.88,30,89.82937
-13.42,30,89.863921
-12.1,30,89.896693
-13.65,30,89.929369
-14.23,30,89.964009
-13.18,30,89.99547
-12.51,30,90.027882
-11.99,30,90.059916
-14.19,30,90.096266
-13.94,30,90.130125
-14.21,30,90.164635
-14.31,30,90.200999
-13.4,30,90.232867
-13.9,30,90.266337
-14.05,30,90.305391
-14.27,30,90.346188
-13.91,30,90.384372
-12.59,30,90.420446
-13.33,30,90.455929
-12.87,30,90.492678
-13.97,30,90.527264
-13.02,30,90.56194
-14.08,30,90.599655
-13.04,30,90.637005
-13.77,30,90.673297
-11.99,30,90.705251
-14.08,30,90.73852
-12.85,30,90.775129
-13.07,30,90.814193
-12.84,30,90.84922
-13.21,30,90.883625
-11.28,30,90.916166
-13.23,30,90.952337
-13.31,30,90.983899
-14.14,30,91.017719
-13.88,30,91.05057
-14.7,30,91.085513
-13.5,30,91.119144
-13.43,30,91.151036
-11.78,30,91.183693
-14.77,30,91.218116
-14.55,30,91.25127
-13.56,30,91.288656
-14.01,30,91.330624
-12.44,30,91.364326
-13.49,30,91.401015
-13.1,30,91.43561
-12.76,30,91.470538
-14.28,30,91.504335
-14.09,30,91.538657
-14.2,30,91.572182
-13.43,30,93.173781
-12.61,30,93.213974
-14.0,30,93.251193
-13.58,30,93.286098
-14.23,30,93.321041
-13.0,30,93.353708
-12.1,30,93.388942
-13.36,30,93.424921
-13.58,30,93.458423
-12.64,30,93.493907
-13.58,30,93.52983
-13.26,30,93.568654
-14.51,30,93.603388
-13.16,30,93.637712
-13.33,30,93.67394
-13.97,30,93.705988
-13.71,30,93.736742
-14.02,30,93.771718
-13.55,30,93.806328
-14.2,30,93.842272
-13.45,30,93.874102
-15.51,30,93.911219
-13.75,30,93.944649
-13.59,30,93.981229
-13.81,30,94.017195
-13.5,30,94.052331
-12.72,30,94.089436
-14.32,30,94.126297
-13.07,30,94.15906
-13.77,30,94.192921
-13.99,30,94.232132
-12.63,30,94.271026
-13.87,30,94.307174
-13.73,30,94.344164
-13.6,30,94.377199
-13.58,30,94.411121
-13.44,30,94.445807
-13.68,30,94.485315
-12.51,30,94.519589
-13.34,30,94.552047
-11.33,30,94.58682
-14.0,30,94.620125
-14.26,30,94.652572
-12.06,30,94.690092
-14.01,30,94.724392
-14.08,30,94.759866
-13.97,30,94.792764
-13.72,30,94.825596
-13.18,30,94.858332
-13.78,30,94.889798
-13.0,30,94.926937
-13.74,30,94.971316
-11.87,30,95.00715
-13.55,30,95.053452
-12.02,30,95.090304
-14.0,30,95.124945
-14.24,30,95.157398
-14.2,30,95.192796
-13.94,30,95.231099
-13.36,30,95.268817
-14.17,30,95.302056
-14.19,30,95.340096
-14.1,30,95.376393
-13.35,30,95.408793
-11.35,30,95.439303
-14.82,30,95.474657
-13.99,30,95.508767
-13.13,30,95.541822
-13.8,30,97.119968
-13.95,30,97.15696
-13.25,30,97.191615
-13.89,30,97.224973
-12.05,30,97.260123
-13.76,30,97.293218
-13.33,30,97.331032
-13.02,30,97.363408
-14.07,30,97.394409
-13.74,30,97.426028
-13.26,30,97.466635
-13.85,30,97.501378
-12.72,30,97.533448
-13.1,30,97.569974
-13.27,30,97.601911
-13.87,30,97.636397
-13.45,30,97.673313
-13.1,30,97.710784
-14.16,30,97.743406
-14.14,30,97.778724
-13.91,30,97.810195
-14.39,30,97.846333
-14.02,30,97.881419
-14.07,30,97.918482
-13.25,30,97.952526
-13.72,30,97.989555
-13.36,30,98.02126
-12.84,30,98.052963
-14.06,30,98.091572
-14.07,30,98.132456
-12.61,30,98.168099
-12.86,30,98.20502
-13.64,30,98.24057
-13.73,30,98.273906
-12.31,30,98.306976
-14.24,30,98.341033
-13.27,30,98.378124
-13.93,30,98.412701
-13.91,30,98.448765
-14.86,30,98.482839
-12.09,30,98.522921
-13.08,30,98.555172
-13.0,30,98.591326
-13.24,30,98.63202
-13.88,30,98.664614
-12.43,30,98.697144
-12.91,30,98.72969
-13.91,30,98.769014
-14.14,30,98.802193
-12.04,30,98.835186
-13.87,30,98.869637
-12.95,30,98.905809
-12.29,30,98.940399
-13.02,30,98.977935
-13.34,30,99.014381
-13.95,30,99.052421
-13.77,30,99.086594
-13.15,30,99.118212
-11.35,30,99.15219
-11.64,30,99.186652
-12.29,30,99.222568
-13.74,30,99.257606
-14.05,30,99.290705
-14.09,30,99.323378
-12.49,30,99.355165
-13.51,30,99.394638
-12.92,30,99.429881
-14.03,30,99.46673
-12.29,30,101.023592
-13.11,30,101.063976
-12.42,30,101.099922
-13.6,30,101.136897
-12.91,30,101.171085
-14.37,30,101.203656
-12.85,30,101.248049
-13.73,30,101.293514
-14.0,30,101.329708
-12.23,30,101.362724
-12.62,30,101.397696
-14.58,30,101.433447
-13.49,30,101.468182
-12.77,30,101.504211
-14.19,30,101.538576
-13.76,30,101.57496
-13.18,30,101.609406
-14.48,30,101.643885
-13.54,30,101.679692
-13.3,30,101.715745
-12.97,30,101.750527
-13.55,30,101.78264
-13.38,30,101.814604
-12.98,30,101.846489
-14.21,30,101.88335
-13.2,30,101.917313
-12.75,30,101.950619
-14.36,30,101.984303
-11.89,30,102.018991
-13.79,30,102.05397
-14.84,30,102.090377
-12.92,30,102.122579
-12.36,30,102.158165
-12.45,30,102.194233
-14.16,30,102.226408
-13.21,30,102.258946
-14.41,30,102.292984
-13.65,30,102.326243
-14.45,30,102.358895
-13.71,30,102.392207
-14.62,30,102.430138
-14.53,30,102.464143
-12.43,30,102.500362
-13.13,30,102.535331
-14.42,30,102.570735
-13.81,30,102.606774
-13.94,30,102.643287
-12.45,30,102.680076
-13.94,30,102.712439
-12.88,30,102.749446
-13.97,30,102.780878
-13.41,30,102.814179
-13.37,30,102.845886
-13.9,30,102.877774
-14.16,30,102.91542
-12.74,30,102.952539
-13.76,30,102.992
-13.89,30,103.031757
-13.84,30,103.067145
-13.57,30,103.102844
-13.72,30,103.13714
-14.3,30,103.169961
-14.14,30,103.202609
-13.56,30,103.238991
-12.7,30,103.273532
-14.57,30,103.307308
-12.99,30,103.339776
-13.1,30,103.373241
-12.83,30,104.966408
-12.61,30,105.000903
-13.24,30,105.037848
-13.67,30,105.077059
-13.49,30,105.112933
-13.75,30,105.147341
-12.33,30,105.181099
-14.7,30,105.219495
-13.22,30,105.256419
-13.21,30,105.291004
-13.95,30,105.327703
-13.13,30,105.36205
-13.02,30,105.399271
-13.06,30,105.440158
-12.88,30,105.47548
-12.85,30,105.509847
-13.75,30,105.543213
-12.83,30,105.580388
-13.17,30,105.622247
-13.41,30,105.66034
-13.08,30,105.693951
-14.53,30,105.736975
-13.57,30,105.771565
-14.21,30,105.804289
-13.4,30,105.838923
-12.83,30,105.87292
-13.63,30,105.905004
-13.42,30,105.937014
-13.25,30,105.97418
-12.55,30,106.013569
-14.06,30,106.048619
-13.73,30,106.081076
-13.21,30,106.116057
-13.68,30,106.161259
-12.98,30,106.196374
-13.62,30,106.229893
-13.49,30,106.263446
-14.01,30,106.29802
-13.69,30,106.331001
-13.82,30,106.365171
-14.19,30,106.398706
-13.71,30,106.432175
-13.32,30,106.46493
-12.37,30,106.49775
-13.6,30,106.533956
-13.35,30,106.567737
-13.83,30,106.603054
-13.9,30,106.636496
-13.69,30,106.677021
-12.56,30,106.715935
-14.13,30,106.749863
-12.56,30,106.784908
-12.95,30,106.819511
-13.65,30,106.856771
-12.98,30,106.891829
-13.79,30,106.92535
-13.25,30,106.958333
-12.49,30,106.990464
-12.9,30,107.022932
-12.93,30,107.058437
-14.31,30,107.093622
-12.44,30,107.125543
-13.14,30,107.156744
-12.79,30,107.1933
-12.61,30,107.23013
-11.74,30,107.264769
-13.86,30,107.296445
-13.94,30,107.328511
-13.96,30,107.359762
-14.06,30,108.970169
-14.32,30,109.004747
-13.28,30,109.039794
-14.05,30,109.074662
-14.53,30,109.107704
-13.46,30,109.142617
-13.44,30,109.174963
-14.24,30,109.21277
-13.82,30,109.246191
-13.77,30,109.281594
-12.6,30,109.317596
-13.39,30,109.351034
-14.76,30,109.382282
-13.88,30,109.415106
-13.22,30,109.452548
-13.94,30,109.49324
-13.66,30,109.529895
-13.02,30,109.562198
-13.81,30,109.59502
-12.88,30,109.628484
-13.89,30,109.663965
-14.25,30,109.699663
-12.44,30,109.733322
-12.38,30,109.766864
-13.1,30,109.79886
-13.99,30,109.838656
-12.88,30,109.872027
-13.78,30,109.907429
-12.84,30,109.941603
-12.04,30,109.977774
-11.84,30,110.01155
-13.67,30,110.044899
-13.5,30,110.082464
-14.34,30,110.117695
-13.26,30,110.151953
-14.06,30,110.186635
-13.8,30,110.220456
-13.41,30,110.259585
-12.71,30,110.292354
-13.05,30,110.325574
-13.51,30,110.36275
-13.95,30,110.398787
-13.52,30,110.434366
-14.04,30,110.473317
-13.68,30,110.509129
-13.79,30,110.540687
-12.54,30,110.579154
-12.87,30,110.620475
-13.35,30,110.663544
-14.06,30,110.701954
-14.19,30,110.7367
-13.92,30,110.773876
-13.37,30,110.812916
-13.55,30,110.846824
-13.38,30,110.878051
-14.68,30,110.914452
-13.12,30,110.948163
-12.05,30,110.98134
-13.59,30,111.017791
-13.99,30,111.053527
-12.87,30,111.091385
-13.11,30,111.124673
-13.09,30,111.162802
-12.86,30,111.195086
-12.2,30,111.227917
-12.56,30,111.263313
-13.96,30,111.298896
-13.76,30,111.331923
-12.62,30,112.90027
-14.04,30,112.935514
-14.19,30,112.975888
-14.06,30,113.015743
-14.26,30,113.048095
-13.12,30,113.081898
-13.79,30,113.118685
-12.9,30,113.154683
-13.72,30,113.187217
-13.45,30,113.219443
-14.52,30,113.254463
-13.8,30,113.28709
-13.08,30,113.325119
-13.08,30,113.359297
-11.42,30,113.391348
-13.95,30,113.426766
-12.84,30,113.462975
-12.4,30,113.495757
-12.56,30,113.534847
-14.57,30,113.57395
-13.96,30,113.607917
-14.31,30,113.642549
-14.61,30,113.679405
-13.49,30,113.718659
-13.01,30,113.757601
-12.18,30,113.791253
-14.48,30,113.824962
-14.38,30,113.858836
-12.43,30,113.890095
-14.11,30,113.926058
-12.35,30,113.961832
-13.68,30,113.998016
-13.64,30,114.031464
-12.71,30,114.066962
-13.55,30,114.104848
-13.56,30,114.137757
-11.48,30,114.172995
-13.59,30,114.206843
-12.84,30,114.241327
-13.5,30,114.275532
-13.09,30,114.313145
-13.18,30,114.347372
-12.28,30,114.378141
-13.06,30,114.410111
-13.37,30,114.442378
-13.6,30,114.477577
-13.78,30,114.514735
-13.47,30,114.549022
-14.07,30,114.583756
-12.86,30,114.61599
-13.57,30,114.650716
-12.55,30,114.688291
-14.63,30,114.724594
-14.55,30,114.763065
-12.36,30,114.796747
-13.72,30,114.828441
-12.87,30,114.859128
-14.39,30,114.892151
-13.56,30,114.92767
-11.83,30,114.963485
-14.12,30,115.000433
-14.12,30,115.033675
-13.22,30,115.065054
-13.28,30,115.10346
-12.81,30,115.138985
-13.61,30,115.173502
-12.95,30,115.209013
-14.0,30,115.244785
-14.13,30,116.83947
-13.13,30,116.877596
-13.48,30,116.91477
-13.78,30,116.948552
-13.33,30,116.985014
-13.02,30,117.018027
-13.31,30,117.053584
-12.92,30,117.088477
-13.33,30,117.119733
-13.18,30,117.157862
-13.29,30,117.195709
-13.03,30,117.228643
-12.67,30,117.26713
-14.62,30,117.30229
-14.1,30,117.341614
-13.96,30,117.375608
-12.33,30,117.408973
-13.26,30,117.441082
-13.95,30,117.477064
-14.01,30,117.517543
-12.78,30,117.558059
-13.35,30,117.591536
-13.91,30,117.625979
-14.1,30,117.659473
-13.99,30,117.693397
-13.4,30,117.727612
-12.92,30,117.759407
-13.53,30,117.793651
-13.53,30,117.830839
-12.37,30,117.866058
-13.79,30,117.900712
-13.94,30,117.934034
-12.07,30,117.96945
-13.85,30,118.005078
-13.15,30,118.045024
-12.35,30,118.081923
-11.62,30,118.116157
-13.88,30,118.148416
-13.51,30,118.182744
-13.58,30,118.219971
-13.23,30,118.255931
-11.84,30,118.291718
-13.39,30,118.325613
-13.9,30,118.361968
-12.32,30,118.397574
-13.1,30,118.433821
-13.3,30,118.468364
-14.7,30,118.502941
-13.68,30,118.536147
-13.62,30,118.571809
-13.67,30,118.607431
-13.96,30,118.64285
-13.65,30,118.679407
-12.19,30,118.711809
-13.91,30,118.746597
-13.21,30,118.779283
-13.09,30,118.815036
-14.41,30,118.852723
-12.14,30,118.884212
-14.45,30,118.916881
-13.32,30,118.949308
-13.85,30,118.98551
-13.66,30,119.021876
-13.51,30,119.063354
-13.96,30,119.096618
-14.05,30,119.129322
-11.96,30,119.162259
-14.22,30,119.195019
-13.89,30,119.227048
-13.01,30,120.92897
-12.59,30,120.966362
-11.87,30,120.998993
-13.34,30,121.036532
-13.63,30,121.073655
-12.34,30,121.109316
-11.91,30,121.146274
-13.63,30,121.180663
-13.58,30,121.212881
-13.96,30,121.246013
-12.96,30,121.277301
-13.4,30,121.312173
-12.01,30,121.346879
-11.72,30,121.378439
-13.07,30,121.410691
-12.22,30,121.443273
-12.24,30,121.474952
-12.17,30,121.506292
-13.12,30,121.538772
-13.81,30,121.573773
-13.88,30,121.611537
-13.58,30,121.649633
-12.56,30,121.686718
-13.88,30,121.720261
-13.79,30,121.752043
-12.85,30,121.784515
-12.99,30,121.819702
-14.54,30,121.8557
-14.3,30,121.891001
-13.59,30,121.92725
-14.21,30,121.961032
-12.14,30,121.996466
-14.33,30,122.028451
-12.78,30,122.06008
-12.69,30,122.095755
-14.19,30,122.127818
-14.39,30,122.158618
-12.21,30,122.191404
-14.13,30,122.225175
-12.49,30,122.259834
-14.57,30,122.291284
-13.04,30,122.326465
-14.6,30,122.362505
-13.66,30,122.400731
-13.65,30,122.439651
-12.98,30,122.472095
-13.05,30,122.504465
-14.09,30,122.536483
-14.88,30,122.572143
-13.0,30,122.609766
-14.04,30,122.647359
-13.83,30,122.68026
-13.74,30,122.71378
-13.54,30,122.747873
-13.65,30,122.779808
-12.46,30,122.812715
-12.61,30,122.847116
-13.66,30,122.880242
-13.13,30,122.914058
-12.73,30,122.956647
-13.29,30,123.002106
-11.63,30,123.043683
-13.96,30,123.083431
-13.55,30,123.116936
-12.69,30,123.150986
-13.7,30,123.183204
-14.2,30,123.217826
-14.2,30,123.252991
-13.12,30,124.814294
-13.37,30,124.851639
-13.33,30,124.887856
-13.82,30,124.922041
-14.37,30,124.95593
-14.09,30,124.988808
-13.28,30,125.029447
-13.2,30,125.069665
-12.82,30,125.108692
-13.93,30,125.142053
-13.48,30,125.174654
-13.68,30,125.206589
-11.86,30,125.238789
-12.79,30,125.277872
-12.59,30,125.313722
-14.21,30,125.349634
-14.08,30,125.38365
-13.34,30,125.41907
-14.05,30,125.456063
-13.45,30,125.489206
-13.71,30,125.523123
-14.25,30,125.559546
-14.08,30,125.594112
-13.02,30,125.62983
-13.33,30,125.665912
-13.52,30,125.700283
-12.08,30,125.734457
-14.01,30,125.771173
-13.16,30,125.803628
-13.37,30,125.834891
-12.91,30,125.86658
-13.41,30,125.898513
-14.31,30,125.931567
-12.06,30,125.967062
-14.35,30,125.999805
-13.35,30,126.03179
-12.03,30,126.06637
-14.5,30,126.10113
-12.41,30,126.140344
-12.37,30,126.186465
-12.16,30,126.223047
-12.89,30,126.256776
-12.76,30,126.293851
-13.88,30,126.327933
-13.02,30,126.365227
-11.63,30,126.401354
-12.9,30,126.433208
-13.58,30,126.470858
-13.4,30,126.505243
-13.51,30,126.544103
-13.48,30,126.586203
-12.91,30,126.620371
-13.53,30,126.654604
-12.87,30,126.691466
-12.76,30,126.734726
-14.86,30,126.770244
-13.48,30,126.806586
-13.28,30,126.839555
-13.94,30,126.873441
-13.1,30,126.905761
-13.77,30,126.940573
-13.81,30,126.977375
-13.77,30,127.014819
-12.52,30,127.047164
-14.42,30,127.080181
-14.13,30,127.118732
-12.58,30,127.154968
-13.79,30,127.187297
-13.98,30,128.770093
-14.08,30,128.805332
-13.71,30,128.839542
-12.2,30,128.874711
-14.21,30,128.910096
-11.83,30,128.944665
-12.83,30,128.982338
-11.89,30,129.019964
-13.87,30,129.055951
-14.11,30,129.090666
-13.05,30,129.125905
-13.86,30,129.159814
-13.65,30,129.191795
-13.11,30,129.231328
-13.85,30,129.274801
-13.71,30,129.314084
-13.66,30,129.346735
-13.14,30,129.378483
-12.97,30,129.410404
-14.04,30,129.445252
-12.45,30,129.478658
-13.94,30,129.511896
-13.12,30,129.553152
-13.16,30,129.586247
-11.96,30,129.619521
-14.0,30,129.654915
-14.1,30,129.689745
-14.26,30,129.723023
-12.98,30,129.759319
-12.85,30,129.794862
-13.68,30,129.829101
-13.04,30,129.864653
-13.88,30,129.901103
-13.17,30,129.936514
-12.38,30,129.970495
-12.68,30,130.002314
-13.27,30,130.034503
-13.79,30,130.067922
-13.13,30,130.10082
-11.46,30,130.138936
-13.16,30,130.174137
-13.28,30,130.206487
-13.28,30,130.242478
-15.07,30,130.278134
-13.57,30,130.310774
-14.42,30,130.34456
-13.81,30,130.376709
-14.19,30,130.413799
-14.04,30,130.446239
-13.23,30,130.485742
-11.72,30,130.521604
-14.11,30,130.554643
-13.65,30,130.591011
-13.06,30,130.629614
-13.2,30,130.666149
-12.96,30,130.701981
-13.98,30,130.741116
-13.33,30,130.773886
-14.18,30,130.805321
-12.4,30,130.837357
-13.95,30,130.871125
-13.86,30,130.904353
-11.92,30,130.940271
-14.63,30,130.97595
-13.65,30,131.011006
-13.09,30,131.055891
-12.23,30,131.088996
-13.44,30,131.122939
-13.66,30,132.720379
-13.89,30,132.753071
-14.23,30,132.786891
-12.59,30,132.820617
-12.63,30,132.854755
-12.89,30,132.890948
-13.99,30,132.925752
-13.9,30,132.965597
-13.66,30,133.001187
-13.41,30,133.0376
-14.45,30,133.071754
-13.29,30,133.107264
-12.84,30,133.143118
-13.73,30,133.174923
-13.38,30,133.208405
-13.52,30,133.24318
-12.86,30,133.278868
-13.71,30,133.311998
-14.52,30,133.348751
-13.91,30,133.387875
-13.5,30,133.422225
-13.38,30,133.455969
-12.68,30,133.489027
-12.93,30,133.523238
-14.53,30,133.558007
-13.13,30,133.591888
-12.71,30,133.626027
-14.6,30,133.662239
-13.16,30,133.697879
-12.86,30,133.740746
-13.65,30,133.778878
-12.66,30,133.812001
-13.53,30,133.847254
-14.81,30,133.883564
-11.91,30,133.916364
-12.33,30,133.95629
-12.13,30,133.996256
-13.9,30,134.032841
-13.5,30,134.06669
-11.87,30,134.10453
-14.03,30,134.138303
-12.94,30,134.17012
-14.17,30,134.204746
-12.98,30,134.245055
-13.42,30,134.278558
-13.66,30,134.311757
-13.32,30,134.351176
-14.92,30,134.388448
-13.3,30,134.42531
-12.85,30,134.462273
-14.05,30,134.496742
-14.29,30,134.530684
-14.72,30,134.563091
-14.33,30,134.595359
-13.8,30,134.627922
-13.51,30,134.662145
-12.7,30,134.696196
