#{"t_start": 1752056778.3082104, "env_id": "MultiInventory-v0"}
r,l,t
-13.03,30,16.168324
-12.37,30,16.201517
-13.42,30,16.238183
-13.09,30,16.271004
-13.48,30,16.304533
-12.56,30,16.341661
-13.76,30,16.373522
-13.43,30,16.406189
-12.92,30,16.438746
-13.03,30,16.474432
-15.43,30,18.093607
-11.67,30,18.129189
-13.84,30,18.162562
-14.01,30,18.196685
-13.34,30,18.231302
-12.74,30,18.265836
-13.83,30,18.298329
-13.2,30,18.335854
-12.94,30,18.372413
-13.11,30,18.407274
-13.84,30,18.44294
-14.37,30,18.476875
-13.7,30,18.512187
-13.55,30,18.549052
-13.07,30,18.582014
-14.22,30,18.614804
-13.1,30,18.647459
-12.05,30,18.679975
-13.18,30,18.715421
-13.68,30,18.749795
-12.25,30,18.783729
-13.85,30,18.817999
-13.85,30,18.852603
-13.71,30,18.891344
-14.49,30,18.926388
-14.12,30,18.959781
-13.58,30,18.991488
-14.29,30,19.025731
-13.02,30,19.057316
-13.9,30,19.08845
-13.14,30,19.126921
-14.18,30,19.164261
-11.98,30,19.197765
-12.77,30,19.232908
-14.15,30,19.267046
-13.7,30,19.300075
-13.15,30,19.332984
-14.16,30,19.365069
-13.84,30,19.399775
-13.47,30,19.434283
-13.67,30,19.470006
-12.27,30,19.507761
-13.42,30,19.545335
-12.71,30,19.583261
-13.83,30,19.619166
-13.73,30,19.650853
-11.79,30,19.683524
-15.08,30,19.715914
-13.58,30,19.747819
-13.63,30,19.781157
-13.34,30,19.815346
-13.9,30,19.850302
-13.23,30,19.883307
-13.19,30,19.918213
-14.22,30,19.950791
-13.12,30,19.985893
-13.76,30,20.021735
-12.12,30,20.06389
-13.87,30,20.112031
-13.19,30,20.151141
-13.9,30,20.185251
-13.45,30,20.218942
-12.7,30,20.253947
-14.67,30,20.286297
-13.31,30,20.322525
-11.45,30,20.357932
-13.9,30,20.39423
-13.15,30,20.428418
-13.9,30,21.999968
-12.93,30,22.034882
-13.01,30,22.068033
-13.85,30,22.102982
-13.19,30,22.138067
-14.86,30,22.172822
-13.47,30,22.208338
-13.66,30,22.242068
-13.94,30,22.27443
-12.95,30,22.315917
-12.45,30,22.348203
-12.94,30,22.383659
-14.09,30,22.424268
-14.27,30,22.456374
-12.41,30,22.491309
